 
       w [eV]        Osc. strength         Transition      Weight      KS [eV]      D<S*S>
 
 ==========================================================================================
 
      3.449          0.0000535           269   -> 281       1.000       3.448       0.733
      3.449          0.0000311           184   -> 279       1.000       3.449       0.996
      3.450          0.0000463           266   -> 280       0.765       3.450       1.621
      3.451          0.0001277           266   -> 280       0.853       3.450       1.544
      3.455          0.0010294           277   -> 293       0.797       3.453       0.015
      3.457          0.0000132           197   -> 278       0.999       3.457       0.004
      3.459          0.0000660           278   -> 331       0.999       3.458       0.009
      3.460          0.0000658           276   -> 289       0.924       3.461       1.878
      3.461          0.0001469           266   -> 280       1.000       3.461       0.820
      3.463          0.0000049           215   -> 279       1.000       3.463       0.998
      3.464          0.0009663           276   -> 289       0.927       3.463       0.104
      3.468          0.0000186           196   -> 278       0.998       3.468       0.057
      3.469          0.0001837           273   -> 284       0.996       3.469       1.483
      3.469          0.0001133           214   -> 279       0.998       3.469       0.945
      3.470          0.0000032           276   -> 290       0.910       3.470       1.902
      3.471          0.0000213           277   -> 294       0.997       3.471       1.478
      3.472          0.0002570           276   -> 290       0.883       3.471       0.233
      3.472          0.0000051           275   -> 287       0.916       3.472       1.642
      3.472          0.0000664           271   -> 282       0.959       3.472       1.529
      3.473          0.0000380           275   -> 287       0.862       3.473       0.539
      3.474          0.0007944           273   -> 284       0.890       3.473       0.310
      3.475          0.0001289           277   -> 294       0.997       3.474       0.479
      3.475          0.0002252           271   -> 282       0.993       3.475       0.431
      3.478          0.0000623           278   -> 332       0.998       3.477       0.009
      3.479          0.0001432           268   -> 281       0.989       3.479       1.608
      3.479          0.0000135           183   -> 279       0.999       3.479       1.035
      3.480          0.0000004           274   -> 286       0.720       3.481       1.987
      3.482          0.0000904           272   -> 284       1.000       3.481       1.202
      3.483          0.0001176           273   -> 285       0.890       3.483       1.016
      3.483          0.0002324           268   -> 281       0.862       3.482       0.856
      3.484          0.0005165           274   -> 286       0.621       3.482       0.261
      3.485          0.0003074           272   -> 284       0.968       3.485       0.775
      3.486          0.0001751           271   -> 283       0.998       3.485       1.154
      3.486          0.0000419           213   -> 279       0.992       3.486       0.885
      3.486          0.0005184           273   -> 285       0.771       3.485       0.360
      3.487          0.0005266           195   -> 278       0.985       3.483       0.197
      3.487          0.0001174           275   -> 288       0.880       3.487       1.841
      3.489          0.0006700           275   -> 288       0.932       3.488       0.156
      3.490          0.0000481           182   -> 279       0.999       3.490       0.974
      3.490          0.0002387           270   -> 282       0.963       3.490       1.697
      3.492          0.0000189           265   -> 280       0.997       3.492       1.023
      3.493          0.0000121           277   -> 295       0.959       3.493       1.831
      3.493          0.0015191           270   -> 282       0.970       3.492       0.398
      3.495          0.0000346           272   -> 285       0.996       3.495       1.504
      3.496          0.0000144           271   -> 283       0.995       3.495       0.677
      3.496          0.0003615           277   -> 295       0.952       3.495       0.258
      3.498          0.0000623           267   -> 281       0.992       3.498       1.553
      3.498          0.0001288           272   -> 285       0.994       3.497       0.478
      3.502          0.0000970           267   -> 281       0.983       3.501       0.503
      3.503          0.0000210           275   -> 289       0.904       3.503       1.243
      3.503          0.0002202           265   -> 280       0.920       3.502       0.970
      3.504          0.0008623           270   -> 283       0.993       3.503       1.309
      3.505          0.0003072           275   -> 289       0.996       3.504       0.589
      3.507          0.0000861           269   -> 282       0.965       3.508       1.787
      3.508          0.0000372           194   -> 278       1.000       3.507       0.012
      3.510          0.0003723           269   -> 282       0.869       3.509       0.460
      3.510          0.0001904           264   -> 280       0.947       3.510       0.879
      3.511          0.0000012           277   -> 296       0.708       3.514       1.979
      3.512          0.0000101           275   -> 290       0.939       3.512       1.866
      3.513          0.0000760           278   -> 333       1.000       3.513       0.009
      3.514          0.0001220           275   -> 290       0.950       3.513       0.190
      3.514          0.0010394           270   -> 283       0.997       3.513       0.575
      3.520          0.0000302           212   -> 279       1.000       3.520       0.995
      3.520          0.0006511           269   -> 283       0.996       3.520       1.017
      3.521          0.0000664           264   -> 280       0.997       3.520       0.789
      3.521          0.0009704           277   -> 296       0.707       3.514       0.217
      3.526          0.0000005           273   -> 286       0.779       3.528       1.979
      3.528          0.0000470           271   -> 284       0.998       3.528       1.267
